name,original_name,nationalities,painting_schools,art_movements,birth_date,death_date
konstantin yuon,Константин Юон,russian,mir iskusstva;akhrr;union of russian artists,symbolism;socialist realism,1875-10-24,1958-04-11
boleslas biegas,Biegalski,polish;french,,symbolism;surrealism,1877-03-29,1954-09-30
francis picabia,Francisco Maria Martinez Picabia della Torre,french,ecole de paris;section d'or,dada;surrealism;abstract art,1879-01-22,1953-11-30
paul klee,Paul Klee,german;swiss,der blaue reiter;bauhaus;degenerate art,expressionism;abstract art;surrealism,1879-12-18,1940-06-29
pierre roy,Pierre Roy,french,,surrealism;magic realism,1880-08-10,1950-09-26
grace pailthorpe,Grace Pailthorpe,british,,surrealism,1883-07-29,1971-07-19
georges ribemont dessaignes,Georges Ribemont-Dessaignes,french,section d'or,dada;surrealism,1884-06-19,1974-07-09
edward weston,Edward Henry Weston,american,group f/64,surrealism,1886-03-24,1958-01-01
jean arp,(Hans) Jean Arp,french;german,ecole de paris;abstraction creation;cercle et carre,abstract art;dada;surrealism,1886-09-16,1966-06-07
valentine hugo,Valentine Marie Augustine Gross,french,,surrealism,0001-01-01,0001-01-01
marcel duchamp,Henri-Robert-Marcel Duchamp,french,societe des artistes independants;section d'or;societe anonyme,dada;surrealism,1887-07-28,1968-10-02
xul solar,Oscar Agustín Alejandro Schulz Solari,argentinean,,surrealism,1887-12-14,1963-04-09
giorgio de chirico,Giorgio de Chirico,italian,,surrealism;metaphysical art,1888-07-10,1978-11-20
paul nash,Paul Nash,british,london group;unit one,surrealism;modernism;abstract art,1889-05-11,1946-07-11
edward wadsworth,Edward Alexander Wadsworth,british,abstraction creation;unit one,vorticism;surrealism,1889-10-29,1949-06-21
man ray,Emmanuel Radnitzky,american,ecole de paris;societe anonyme,dada;surrealism,1890-08-27,1976-11-18
josef sima,Josef Šíma,czech,devetsil;czech surrealist,abstract art;surrealism,1891-03-18,1971-07-24
max ernst,Max Ernst,german,degenerate art,dada;surrealism,1891-04-02,1976-04-01
